nazwa,nazwa_lacinska,grupa,podgrupa,dekoracyjnosc,gleba,kolor_kwiatow,kwiaty,odczyn_gleby,owoce,pokroj,wysokosc,okres_kwitnienia,trwalosc_lisci,korona,wilgotnosc,stanowisko,zastosowanie,zapach,kwiatostan,kolor_owocow,przydatnosc_do_spozycia
turzyca sina,carex flacca,byliny,"byliny, płożące lub okrywowe, na słoneczne stanowisko, ozdobne liście, kwitnące wiosną, trawy ozdobne",ulistnienie,"żyzna, bogata w wapń","brunatne, czerwone",drobne,"obojętna, lekko zasadowa",,kępy,20-90 cm,"V, VI",zimozielone,,gleba wilgotna,"słońce, półcień","rabaty, obwódki rabat, szpalery, brzegi zbiorników wodnych, roślina okrywowa, nasadzenia naturalistyczne, w grupie, ogrody przydomowe, pojemniki",,kłos,,
wyczyniec łąkowy,alopecurus pratensis,byliny,"byliny, płożące lub okrywowe, na słoneczne stanowisko, ozdobne liście, kwitnące wiosną, kwitnące latem, trawy ozdobne",ulistnienie,"żyzna, świeża",,niepozorne,,,kępy,1 m,"V, VI, VII, VIII",,,gleba wilgotna,słońce,"rabaty, roślina okrywowa, w grupie, ogrody przydomowe, duże ogrody",,kłos,,
jeżotka rozpierzchła,hystrix patula,byliny,"znoszące zacienienie, na skalniaki, kwitnące latem, na suszone bukiety, ozdobne kwiaty, trawy ozdobne","kwiatostany, ulistnienie","próchniczna, przepuszczalna",zielonkawe,luźne,,,kępy,60-120 cm,"VI, VII, VIII",półzimozielone,,gleba umiarkowanie wilgotna,"półcień, cień","ogrody wiejskie, skalniaki, rabaty, pod koronami drzew, nasadzenia naturalistyczne, bukiety",,grono,,
gorczyca biała,sinapis alba,inne,"jednoroczne, na słoneczne stanowisko, przyprawy, inne",,"żyzna, próchniczna, bogata w wapń",żółte,pachnące,obojętna,strąki,,40-80 cm,"VI, VII",,,gleba umiarkowanie wilgotna,słońce,"roślina lecznicza, roślina jadalna",,baldachogrono,,
butelua smukła,bouteloua gracilis,byliny,"byliny, na skalniaki, na słoneczne stanowisko, ozdobne liście, kwitnące latem, na kwiat cięty, trawy ozdobne",kwiatostany,"przepuszczalna, lekka, piaszczysta","kremowe, żółte, purpurowe",drobne,,,kępy,30-50 cm,"VI, VII, VIII",zimozielone,,"gleba umiarkowanie wilgotna, gleba sucha",słońce,"skalniaki, obwódki rabat, murki, skarpy, nasadzenia naturalistyczne, pojemniki, kwiat cięty",,kłos,,
przywrotnik,alchemilla,byliny,"byliny, znoszące zacienienie, płożące lub okrywowe, na skalniaki, ozdobne liście, kwitnące wiosną, kwitnące latem, na wilgotne stanowisko",ulistnienie,"próchniczna, przepuszczalna","żółte, zielonkawe","pojedyncze, drobne",,niełupka,"rozłożysty, kępy",,,sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","ogrody wiejskie, skalniaki, rabaty, brzegi zbiorników wodnych, murki, skarpy, w grupie, ogrody przydomowe",,,,
kostrzewa popielata / kostrzewa sina,festuca glauca,byliny,"ozdobne liście, trawy ozdobne",ulistnienie,"żyzna, przepuszczalna, bogata w wapń",,,,,kępy,"0,2 m","VI, VII",zimozielone,,gleba sucha,słońce,"ogrody wrzosowiskowe, skalniaki, obwódki rabat, w grupie, cmentarze, pojemniki",,wiechowaty,,
berberys gruczołkowaty,berberis verruculosa,krzewy,"krzewy, liściaste, żywopłotowe, na słoneczne stanowisko, przebarwiające się liście, ozdobne liście, ozdobne kwiaty",kwiatostany,"małe wymagania glebowe, żyzna, próchniczna",żółte,"pojedyncze, duże","lekko kwaśna, obojętna, lekko zasadowa",jagody,"kulisty, rozłożysty, krzaczkowaty","1,5 m","V, VI",sezonowe,,gleba umiarkowanie wilgotna,półcień,"skalniaki, rabaty, żywopłoty, szpalery, sadzona przy ogrodzeniach",,,granatowe,
żmijowiec zwyczajny,echium vulgare,"jednoroczne, dwuletnie","jednoroczne, dwuletnie, na słoneczne stanowisko, trujące, kwitnące latem, dwuletnie, ozdobne kwiaty",kwiatostany,"małe wymagania glebowe, przepuszczalna, lekka","purpurowe, różowe, niebieskie, fioletowe","lejkowate, pojedyncze","lekko kwaśna, obojętna, lekko zasadowa",,"wzniesiony, wyprostowany, kępy",1 m,"VI, VII, VIII, IX",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",słońce,"ogrody wiejskie, nasadzenia naturalistyczne, ogrody przydomowe",,grono,,
cebulica peruwiańska,scilla peruviana,cebulowe,"cebulowe, znoszące zacienienie, kwitnące latem","kwiatostany, rozety liściowe","próchniczna, przepuszczalna",fioletowe,,obojętna,,"rozłożysty, kępy",30-40 cm,"VI, VII",sezonowe,,gleba umiarkowanie wilgotna,słońce,"tarasy, skalniaki, rabaty, w grupie, ogrody przydomowe, pojemniki",,grono,,
zielistka 'green orange' / chlorophytum orchidastrum,chlorophytum orchidastrum,do wnętrz,"do wnętrz, znoszące zacienienie, na słoneczne stanowisko, ozdobne liście","rozety liściowe, ulistnienie","próchniczna, przepuszczalna","białe, kremowe",drobne,,torebka,kępy,20-50 cm,,,,"gleba wilgotna, gleba umiarkowanie wilgotna",półcień,wnętrza,,kłos,,
wyka ptasia,vicia cracca,inne,"byliny, trujące, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiatostany,"każda ogrodowa, małe wymagania glebowe",fioletowe,"wargowe, pojedyncze","lekko kwaśna, obojętna, lekko zasadowa",strąki,pnącze,"0,5-1,2 m","VII, VIII, IX",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha","słońce, półcień","roślina pnąca, ogrody wiejskie, nasadzenia naturalistyczne",,grono,,
hortensja bukietowa graffiti,hydrangea paniculata 'graffiti',krzewy,"krzewy, liściaste, na słoneczne stanowisko, ozdobne kwiaty",kwiatostany,"żyzna, przepuszczalna","białe, różowe, zielonkawe, wielobarwne",,"kwaśna, lekko kwaśna",,wzniesiony,do 1 m,"VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","miejsca eksponowane, ogrody przydomowe, małe ogrody, duże ogrody, bukiety",,wiechowaty,,
hortensja bukietowa mojito,hydrangea paniculata 'mojito',krzewy,"krzewy, liściaste, pojemnikowe, na słoneczne stanowisko, ozdobne kwiaty",kwiatostany,"żyzna, przepuszczalna","różowe, zielonkawe, wielobarwne",,lekko kwaśna,,"wzniesiony, wyprostowany",do 1 m,"VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","ogrody wiejskie, rabaty, ogrody przydomowe, małe ogrody, pojemniki, bukiety",,baldachogrono,,
hortensja bukietowa confetti,hydrangea paniculata 'confetti',krzewy,"krzewy, liściaste, pojemnikowe, na słoneczne stanowisko, pachnące kwiaty lub liście, ozdobne kwiaty",kwiatostany,"kompostowa, żyzna, przepuszczalna","białe, różowe","pachnące, pojedyncze",lekko kwaśna,,"wzniesiony, zwarty, krzaczkowaty","do 1,2 m","VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,słońce,"tarasy, rabaty, pojedynczo, w grupie, ogrody przydomowe, małe ogrody, pojemniki, bukiety",,baldachogrono,,
czosnek neapolitański,allium neapolitanum,cebulowe,"cebulowe, znoszące zacienienie, kwitnące wiosną, na kwiat cięty, na suszone bukiety, ozdobne kwiaty",kwiatostany,"próchniczna, przepuszczalna",białe,pachnące,"lekko kwaśna, obojętna",,wyprostowany,40 cm,"V, VI",sezonowe,,gleba umiarkowanie wilgotna,półcień,"ogrody wiejskie, rabaty, obwódki rabat, pod koronami drzew, nasadzenia naturalistyczne, w grupie, ogrody przydomowe, kwiat cięty, bukiety",kwiaty,,,
dierama,dierama,byliny,"byliny, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty","kwiatostany, ulistnienie","żyzna, przepuszczalna, piaszczysto-gliniasta","białe, kremowe, purpurowe, różowe","luźne, dzwonkowate",lekko kwaśna,,"rozłożysty, kępy",60-200 cm,"VII, VIII",,,gleba umiarkowanie wilgotna,słońce,"tarasy, skalniaki, rabaty, pojemniki",,kłos,,
drzewo papierowe,tetrapanax papyrifer,na balkon i taras,"na balkon i taras, ozdobne liście, rośliny egzotyczne",ulistnienie,"żyzna, próchniczna, przepuszczalna",,drobne,,jagody,"wzniesiony, rozłożysty",2-4 m,,zimozielone,,"gleba stale wilgotna, gleba umiarkowanie wilgotna",półcień,"roślina dekoracyjna, tarasy, pojedynczo, ogrody przydomowe, pojemniki",,"baldach, wiechowaty",,
zimowit bizantyjski,colchicum ×byzantinum,cebulowe,"cebulowe, znoszące zacienienie, trujące, kwitnące jesienią, ozdobne kwiaty",kwiaty,"żyzna, próchniczna, świeża, piaszczysto-gliniasta","białe, fioletowe, liliowe",,obojętna,,wzniesiony,10-40 cm,IX,sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","rabaty, obwódki rabat, w grupie, ogrody przydomowe",,,,
chruścina jagodna / drzewo truskawkowe,arbutus unedo,na balkon i taras,"ozdobne owoce, na słoneczne stanowisko, kwitnące jesienią, ozdobne kwiaty","kwiaty, owoce","przepuszczalna, próchniczna","białe, różowe",,,,wzniesiony,"1,5-2,5 m (w uprawie)","X, XI",zimozielone,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, tarasy, wnętrza, pojemniki, balkony, roślina lecznicza, roślina jadalna",,wiechowaty,,
hortensja bukietowa skyfall,hydrangea paniculata skyfall,krzewy,"krzewy, liściaste, pojemnikowe, na słoneczne stanowisko, ozdobne kwiaty",kwiatostany,"żyzna, przepuszczalna","białe, kremowe",duże,lekko kwaśna,,"wzniesiony, zwarty, wyprostowany",do 120 cm,"VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","tarasy, rabaty, miejsca eksponowane, małe ogrody, duże ogrody, pojemniki, bukiety",,baldachogrono,,
wyka siewna,vicia sativa,inne,"jednoroczne, dwuletnie, jednoroczne, na słoneczne stanowisko, kwitnące latem",kwiaty,"każda ogrodowa, żyzna","bordowe, różowe","wargowe, pojedyncze","obojętna, lekko zasadowa",,,ok. 50-100 cm,"VI, VII, VIII",sezonowe,,gleba stale wilgotna,słońce,nasadzenia naturalistyczne,kwiaty,,,
wydmuchrzyca piaskowa,leymus arenarius,byliny,"byliny, na słoneczne stanowisko, ozdobne liście, kwitnące latem, trawy ozdobne","kwiatostany, ulistnienie","uboga, przepuszczalna, piaszczysta",kremowe,drobne,"zasadowa, obojętna, lekko zasadowa",,kępy,"1,5 m","VI, VII, VIII",zimozielone,,gleba sucha,słońce,"ogrody wiejskie, rabaty, skarpy, nasadzenia naturalistyczne, ogrody przydomowe, parki, zieleń miejska",,kłos,,
glistnik jaskółcze ziele,chelidonium majus,byliny,"byliny, znoszące zacienienie, trujące, kwitnące latem, lecznicze",kwiaty,"każda ogrodowa, małe wymagania glebowe, próchniczna",żółte,luźne,obojętna,strąki,"rozłożysty, zwarty, krzaczkowaty",40-100 cm,"V, VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,półcień,"ogrody wiejskie, brzegi zbiorników wodnych, nasadzenia naturalistyczne, roślina lecznicza",,baldach,,roślina trująca
słonecznica / delosperma,heliosperma,byliny,"byliny, na skalniaki, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty","kwiatostany, kwiaty","przepuszczalna, lekka, piaszczysta",,,"obojętna, lekko zasadowa",,"zwarty, płożący",5-10 cm,"VI, VII, VIII",zimozielone,,gleba umiarkowanie wilgotna,słońce,"skalniaki, rabaty, murki, roślina okrywowa, ogrody przydomowe, pojemniki",,koszyczek kwiatowy,,
dziurawiec zwyczajny,hypericum perforatum,zioła,"na słoneczne stanowisko, kwitnące latem, lecznicze",kwiaty,"żyzna, przepuszczalna, lekka, bogata w wapń, bogata w azot",żółte,,"lekko kwaśna, obojętna",torebka,"wzniesiony, rozłożysty",do 1 m,"VI, VII",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień",roślina lecznicza,cała roślina,baldachogrono,czarne,"liście, kwiaty"
arcydzięgiel litwor,archangelica officinalis,zioła,"dwuletnie, lecznicze",,"żyzna, przepuszczalna","białe, żółte, zielonkawe",niepozorne,zasadowa,rozłupnia,wzniesiony,"do 2,5 m","V, VIII",sezonowe,,gleba stale wilgotna,"słońce, półcień, cień","pojedynczo, w grupie, ogrody przydomowe, roślina lecznicza","kwiaty, liście",baldach,,"owoce, korzenie"
fasola szparagowa / fasola zwyczajna,phaseolus vulgaris,"owocowe, warzywne","owocowe, warzywne, warzywa",,żyzna,"białe, żółte, czerwone, różowe",wargowe,lekko kwaśna,strąki,płożący,od 45 do 160 cm,,sezonowe,,gleba umiarkowanie wilgotna,słońce,"ogrody wiejskie, rabaty, sadzona przy podporach, roślina jadalna",,grono,"zielone, żółte","owoce, trujące owoce"
melon,cucumis melo,"owocowe, warzywne","owocowe, warzywne, warzywa",,"kompostowa, żyzna, próchniczna","kremowe, żółte",pojedyncze,"lekko kwaśna, obojętna","kuliste, owalne, jagody, jadalne",płożący,,"V, VI",,,gleba wilgotna,"słońce, półcień",ogrody przydomowe,owoce,,"zielone, żółte, pomarańczowe","owoce, kwiaty"
grusza pospolita,pyrus communis,"owocowe, warzywne",drzewa owocowe,,żyzna,białe,,,"kuliste, jadalne",rozłożysty,ok. 10 m,"IV, V",sezonowe,,gleba wilgotna,słońce,"ogrody przydomowe, małe ogrody, duże ogrody, roślina jadalna",,,"zielone, żółte, pomarańczowe, czerwone",owoce
gwiazdnica pospolita,stellaria media,"jednoroczne, dwuletnie","jednoroczne, dwuletnie, jednoroczne, znoszące zacienienie, na słoneczne stanowisko",,,,,"kwaśna, lekko kwaśna",torebka,"luźny, pokładający się, rozłożysty, płożący",ok 10 cm.,"V, VI, VII, VIII, IX, X",,,,,,,,,"liście, kwiaty"
mikołajek alpejski,eryngium alpinium,byliny,"byliny, na słoneczne stanowisko, kwitnące latem, na suszone bukiety, ozdobne kwiaty","kwiatostany, kwiaty","przepuszczalna, piaszczysto-gliniasta, bogata w wapń",niebieskie,kolczaste,"obojętna, lekko zasadowa",rozłupnia,wzniesiony,70 cm,"VII, VIII",sezonowe,,gleba umiarkowanie wilgotna,słońce,"rabaty, skarpy, w grupie, ogrody przydomowe, bukiety, skalniaki",cała roślina,koszyczek kwiatowy,,owoce
dzielżan,helenium,byliny,,"kwiatostany, kwiaty","żyzna, próchniczna, przepuszczalna","bordowe, żółte, pomarańczowe, czerwone, wielobarwne","kolczaste, języczkowate, rurkowe",,niełupka,wzniesiony,ok. 30-100 cm,"VI, VII, VIII, IX, X",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","ogrody wiejskie, rabaty, kwiat cięty, bukiety",,koszyczek kwiatowy,,
budleja davida rocketstar indigo 'smnbdbt',buddleja davidii 'rocketstar indigo',krzewy,"na słoneczne stanowisko, pachnące kwiaty lub liście, ozdobne kwiaty, krzewy, liściaste, pojemnikowe",kwiatostany,"żyzna, próchniczna, przepuszczalna",ciemnoniebieskie,"pachnące, rurkowe, drobne","zasadowa, obojętna, lekko zasadowa",,"wzniesiony, rozłożysty",60 cm,"VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,słońce,"tarasy, ogrody wiejskie, rabaty, pojedynczo, w grupie, ogrody przydomowe, pojemniki, balkony, bukiety",kwiaty,wiechowaty,,
pysznogłówka ogrodowa,monarda x hybrdia,byliny,"byliny, pachnące kwiaty lub liście, na słoneczne stanowisko, kwitnące latem, na kwiat cięty",kwiaty,,"białe, czerwone, różowe, fioletowe, liliowe","pojedyncze, duże","lekko kwaśna, obojętna",rozłupnia,wzniesiony,od 60 do 150 cm,"VI, VII, VIII",sezonowe,,gleba stale wilgotna,"słońce, półcień","ogrody wiejskie, rabaty, brzegi zbiorników wodnych, w grupie, pojemniki, kwiat cięty","kwiaty, liście",,,
ketmia bylinowa / hibiskus bagienny,hibiscus moscheutos,byliny,"byliny, na słoneczne stanowisko, kwitnące latem, na wilgotne stanowisko, ozdobne kwiaty",kwiaty,"torfowa, żyzna, próchniczna, przepuszczalna","białe, czerwone, purpurowe, różowe, liliowe","luźne, pojedyncze, półpełne, pełne, duże","lekko kwaśna, obojętna",,"wzniesiony, wyprostowany",90-200 cm,"VII, VIII, IX",sezonowe,,"gleba wilgotna, gleba umiarkowanie wilgotna","słońce, półcień","ogrody wiejskie, rabaty, brzegi zbiorników wodnych, miejsca eksponowane, pojemniki",,,,
berberys zwyczajny,berberis vulgaris,krzewy,"krzewy, liściaste, do dużych ogrodów lub parków, żywopłotowe, na słoneczne stanowisko, trujące, przebarwiające się liście, ozdobne owoce, ozdobne kwiaty","kwiatostany, owocostany","każda ogrodowa, małe wymagania glebowe, świeża, przepuszczalna, bogata w wapń",żółte,drobne,"obojętna, lekko zasadowa",jagody,kulisty,do 3 m,V,sezonowe,,gleba sucha,"słońce, półcień","żywopłoty, skarpy, sadzona przy ogrodzeniach, nasadzenia naturalistyczne, duże ogrody, parki, zieleń miejska, roślina lecznicza",kwiaty,grono,czerwone,owoce
berberys ottawski,berberis ×ottawensis,krzewy,"liściaste, do dużych ogrodów lub parków, żywopłotowe, na słoneczne stanowisko, ozdobne liście",kwiatostany,"małe wymagania glebowe, żyzna, próchniczna",żółte,pachnące,lekko kwaśna,"elipsoidalne, jagody, jadalne","rozłożysty, krzaczkowaty",2-3 m,"V, VI",sezonowe,,"gleba umiarkowanie wilgotna, gleba umiarkowanie sucha",słońce,"rabaty, żywopłoty, szpalery, ogrody przydomowe, duże ogrody, parki, zieleń miejska",owoce,grono,czerwone,
dzwonek dalmatyński,campanula portenschlagiana,byliny,"na skalniaki, na słoneczne stanowisko, kwitnące latem, ozdobne kwiaty",kwiatostany,"żyzna, przepuszczalna, lekka",fioletowe,"pachnące, dzwonkowate, pojedyncze","zasadowa, obojętna",,"rozłożysty, zwarty, kępy",20 cm,"VI, VII, VIII",,,gleba umiarkowanie wilgotna,słońce,"skalniaki, rabaty, obwódki rabat, murki, skarpy, pojemniki",,,,
cyprysik lawsona,chamaecyparis lawsoniana,drzewa,"iglaste, parkowe, ozdobna kora lub pędy, ozdobne liście","ulistnienie, kora, pędy","żyzna, świeża, przepuszczalna",różowe,,"zasadowa, lekko zasadowa",,stożkowaty,25-30 m,"III, IV",zimozielone,stożkowata,gleba umiarkowanie wilgotna,"słońce, półcień","żywopłoty, pojedynczo, w grupie, ogrody przydomowe, duże ogrody, parki",,,,
miłorząb japoński / miłorząb dwuklapowy,ginkgo biloba,drzewa,"drzewa, liściaste, parkowe, przebarwiające się liście, ozdobne liście, na słoneczne stanowisko",ulistnienie,"małe wymagania glebowe, próchniczna, przepuszczalna",zielonkawe,,obojętna,kuliste,"wzniesiony, zwarty",15-30 m,"III, IV",sezonowe,"szeroka, stożkowata","gleba wilgotna, gleba umiarkowanie wilgotna",słońce,"miejsca eksponowane, ogrody przydomowe, duże ogrody, parki, zieleń miejska, roślina lecznicza",,,,
modrzew europejski,larix decidua,drzewa,"drzewa, iglaste, przebarwiające się liście, na słoneczne stanowisko",cała roślina,"żyzna, próchniczna, świeża, przepuszczalna","purpurowe, zielonkawe",,kwaśna,,,do 40 m.,"III, IV",sezonowe,"stożkowata, luźna, regularna",gleba stale wilgotna,słońce,"żywopłoty, miejsca eksponowane, pojedynczo, duże ogrody",,,,
parocja perska persian spire,parrotia persica persian spire,drzewa,"drzewa, liściaste, do małych ogrodów, przebarwiające się liście, ozdobna kora lub pędy, ozdobne liście, na słoneczne stanowisko","ulistnienie, kora","małe wymagania glebowe, żyzna",czerwone,"niepozorne, drobne","kwaśna, lekko kwaśna",,kolumnowy,do ok. 2 m,IV,sezonowe,wąska,gleba umiarkowanie wilgotna,słońce,"tarasy, miejsca eksponowane, pojedynczo, ogrody przydomowe, małe ogrody, pojemniki",,,,
sumak octowiec,rhus typhina,drzewa,"liściaste, parkowe, znoszące zacienienie, przebarwiające się liście, ozdobne owoce, ozdobna kora lub pędy","owocostany, ulistnienie, pędy",małe wymagania glebowe,,,,,wzniesiony,do 6 m,,sezonowe,zaokrąglona,,"słońce, półcień","ogrody przydomowe, parki, zieleń miejska",,,,
róża 'cutie pie',rosa,krzewy,"liściaste, pojemnikowe, na słoneczne stanowisko, ozdobne kwiaty",cała roślina,"żyzna, próchniczna, przepuszczalna",różowe,"pachnące, pojedyncze, drobne",,,"zwarty, krzaczkowaty",10 cm,"VI, VII, VIII",półzimozielone,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, tarasy, ogrody wiejskie, skalniaki, rabaty, roślina okrywowa, pojedynczo, w grupie, ogrody przydomowe, pojemniki",,,,
klon srebrzysty,acer saccharinum,drzewa,"drzewa, liściaste, parkowe, przebarwiające się liście, ozdobne kwiaty, ozdobne liście, na słoneczne stanowisko",ulistnienie,"małe wymagania glebowe, żyzna, przepuszczalna",czerwone,luźne,,,rozłożysty,ok. 30 m,III,sezonowe,"szeroka, regularna",gleba umiarkowanie wilgotna,słońce,"miejsca eksponowane, pojedynczo, duże ogrody, parki, zieleń miejska",,,,
lipa drobnolistna,tilia cordata,drzewa,"liściaste, parkowe, ozdobne liście",ulistnienie,"przepuszczalna, piaszczysto-gliniasta",,,,,,od 20 do 25 m,"VI, VII",sezonowe,"stożkowata, kulista",,"słońce, półcień",,kwiaty,,,
akebia pięciolistkowa,akebia quinata,pnącza,"na słoneczne stanowisko, ozdobne owoce, kwitnące wiosną, pachnące kwiaty lub liście","kwiaty, owoce, ulistnienie","żyzna, przepuszczalna","białe, purpurowe, różowe","luźne, pojedyncze","lekko kwaśna, obojętna",mieszek,"płożący, pnącze",5-10 m dł.,"IV, V",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina pnąca, na altany, tarasy, sadzona przy podporach, roślina okrywowa, miejsca eksponowane, ogrody przydomowe, roślina lecznicza",kwiaty,grono,,owoce
irga szwedzka 'coral beauty',cotoneaster × suecicus 'coral beauty',krzewy,"liściaste, płożące lub okrywowe, na skalniaki, na słoneczne stanowisko, trujące, ozdobne owoce, ozdobne liście","kwiaty, owoce, ulistnienie","każda ogrodowa, małe wymagania glebowe",białe,"pojedyncze, drobne","lekko kwaśna, obojętna, lekko zasadowa",kuliste,"rozłożysty, płożący",50-60 cm,VI,półzimozielone,,,"słońce, półcień","skalniaki, rabaty, murki, skarpy, roślina okrywowa, ogrody przydomowe, parki",,,czerwone,
berberys juliany,berberis julianae,krzewy,"liściaste, żywopłotowe, trujące, zimozielone (liściaste), pachnące kwiaty lub liście, ozdobne owoce, ozdobne liście, ozdobne kwiaty","kwiaty, owoce, ulistnienie","żyzna, próchniczna, przepuszczalna",żółte,"pachnące, drobne",,jagody,wyprostowany,2-3 m,V,zimozielone,,gleba umiarkowanie wilgotna,"słońce, półcień","żywopłoty, szpalery, sadzona przy ogrodzeniach, w grupie, ogrody przydomowe, zieleń miejska",,,granatowe,
driakiew gołębia,scabiosa columbaria,byliny,"na skalniaki, na słoneczne stanowisko, kwitnące latem, kwitnące jesienią, na kwiat cięty, ozdobne kwiaty","kwiatostany, kwiaty","przepuszczalna, lekka, gliniasta, bogata w wapń",różowe,,"obojętna, lekko zasadowa",,"wzniesiony, rozłożysty",40-90 cm,"VI, VII, VIII, IX",sezonowe,,gleba umiarkowanie wilgotna,słońce,"ogrody wiejskie, skalniaki, rabaty, obwódki rabat, murki, nasadzenia naturalistyczne, ogrody przydomowe, małe ogrody, kwiat cięty",,koszyczek kwiatowy,,
metasekwoja chińska,metasequoia glyptostroboides,drzewa,"drzewa, iglaste, parkowe, przebarwiające się liście, ozdobna kora lub pędy, na słoneczne stanowisko",cała roślina,"zalana, żyzna, próchniczna",,,"lekko kwaśna, obojętna",,,50 m,V,sezonowe,"stożkowata, gęsta, regularna","gleba wilgotna, gleba stale wilgotna",słońce,"brzegi zbiorników wodnych, pojedynczo, duże ogrody, parki, zieleń miejska",,,,
polyscias,polyscias,do wnętrz,"do wnętrz, ozdobne liście","ulistnienie, pędy","żyzna, próchniczna, przepuszczalna",białe,drobne,obojętna,,"wzniesiony, wąski, wyprostowany","1,5-2 m",,,"wąska, owalna",gleba umiarkowanie wilgotna,słońce,"wnętrza, pojedynczo",,kłos,,
fotergilla,fothergilla,krzewy,"liściaste, znoszące zacienienie, na słoneczne stanowisko, przebarwiające się liście, pachnące kwiaty lub liście, ozdobne liście, ozdobne kwiaty","kwiatostany, ulistnienie","próchniczna, przepuszczalna",białe,"pachnące, drobne","kwaśna, lekko kwaśna, obojętna",torebka,"wzniesiony, rozłożysty",80-250 cm,V,sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, rabaty, pod koronami drzew, miejsca eksponowane, pojedynczo, ogrody przydomowe",kwiaty,kłos,,
dąbrówka rozłogowa 'gold chang',ajuga reptans,byliny,"byliny, płożące lub okrywowe, na słoneczne stanowisko, ozdobne liście, kwitnące wiosną","kwiatostany, ulistnienie",przepuszczalna,różowe,wargowe,obojętna,,"wzniesiony, płożący",ok. 15 cm,V,półzimozielone,,gleba umiarkowanie sucha,"słońce, półcień","ogrody wiejskie, skalniaki, rabaty, obwódki rabat, skarpy, roślina okrywowa, pod koronami drzew, w grupie, pojemniki",,grono,,
lawenda francuska,lavandula stoechas,byliny,"byliny, pachnące kwiaty lub liście, na słoneczne stanowisko, kwitnące latem, na kwiat cięty, na suszone bukiety, ozdobne kwiaty, zioła",kwiatostany,"próchniczna, przepuszczalna","białe, purpurowe, różowe, fioletowe",pachnące,"zasadowa, obojętna, lekko zasadowa",,krzaczkowaty,,"IV, V, IX",,,gleba umiarkowanie wilgotna,słońce,"rabaty, obwódki rabat, pojedynczo, w grupie, małe ogrody, pojemniki, balkony, kwiat cięty, roślina lecznicza",cała roślina,,,
liatra kłosowa,liatris spicata,cebulowe,"na słoneczne stanowisko, na skalniaki, kwitnące latem, na kwiat cięty, ozdobne kwiaty","kwiatostany, kwiaty","próchniczna, przepuszczalna, lekka","białe, różowe, fioletowe",pachnące,"lekko kwaśna, obojętna",,"wzniesiony, wyprostowany",ok. 1 m,"VII, VIII, IX",sezonowe,,gleba umiarkowanie sucha,"słońce, półcień","ogrody wiejskie, skalniaki, rabaty, sadzona przy ogrodzeniach, w grupie, pojemniki, kwiat cięty, roślina lecznicza",,grono,,
cibora papirusowa,cyperus papyrus,do wnętrz,"do wnętrz, na słoneczne stanowisko, ozdobne liście",ulistnienie,"zalana, żyzna",zielonkawe,"niepozorne, drobne",lekko kwaśna,,wzniesiony,2-3 m (w donicy),,zimozielone,,"gleba wilgotna, gleba stale wilgotna",słońce,"tarasy, wnętrza, pojemniki, balkony, bukiety",,baldach,,
kalina burkwooda,viburnum × burkwoodii,krzewy,"krzewy, liściaste","kwiatostany, owoce","świeża, przepuszczalna, żyzna, próchniczna",białe,"pachnące, pojedyncze, drobne",lekko kwaśna,"kuliste, jagody","luźny, rozłożysty","2-2,5 m","IV, V",półzimozielone,,gleba umiarkowanie wilgotna,"słońce, półcień","rabaty, nasadzenia naturalistyczne, pojedynczo, ogrody przydomowe, duże ogrody, kwiat cięty",kwiaty,baldachogrono,,
kalina hordowina,viburnum lantana,krzewy,"liściaste, przebarwiające się liście, ozdobne owoce, ozdobne kwiaty","kwiatostany, owoce, ulistnienie","małe wymagania glebowe, próchniczna, bogata w wapń",białe,"pojedyncze, drobne","obojętna, lekko zasadowa","kuliste, zebrane w grono","luźny, rozłożysty",3-5 m,"V, VI",sezonowe,,gleba umiarkowanie wilgotna,"słońce, półcień","roślina dekoracyjna, ogrody wiejskie, rabaty, szpalery, nasadzenia naturalistyczne, pojedynczo, ogrody przydomowe",kwiaty,baldach,,trujące owoce
